,,Channel Description:,G's,msec,In/S,Filter Hz,Max G's,Min G's
Ch 1,,356A24 - 11340 X                                            ,6.03000,1.50,2.13,500.00,6.03,-3.96
Ch 2,,356A24 - 11340 Y                                            ,91.20000,11.50,227.81,500.00,91.20,-11.74
Ch 3,,356A24 - 11340 Z                                            ,12.51000,6.40,19.37,500.00,12.51,-1.70
Time (msec),Channel 1 (G's),Channel 2 (G's),Channel 3 (G's),,,,,
40.90000,0.77116,-0.84015,-0.09578,,,,,
41.00000,1.19243,-1.86447,-0.18993,,,,,
41.10000,0.65657,-2.98008,-0.49771,,,,,
41.20000,-0.42971,-4.10969,-0.49888,,,,,
41.30000,-1.33894,-3.83702,-0.29260,,,,,
41.40000,-0.55096,-3.33205,-0.13063,,,,,
41.50000,0.50623,-2.25330,-0.02632,,,,,
41.60000,1.74221,-2.64361,-0.18599,,,,,
41.70000,1.33157,-4.03194,-0.36861,,,,,
41.80000,0.32588,-6.48555,-0.53744,,,,,
41.90000,-0.50135,-7.98720,-0.80696,,,,,
42.00000,-0.50190,-8.69359,-0.78760,,,,,
42.10000,0.25508,-8.54692,-0.70623,,,,,
42.20000,0.96398,-7.29935,-0.66093,,,,,
42.30000,1.30295,-6.30017,-0.64300,,,,,
42.40000,1.08926,-5.69717,-0.61079,,,,,
42.50000,0.72617,-5.77586,-0.59086,,,,,
42.60000,0.67298,-5.90974,-0.48597,,,,,
42.70000,0.84694,-6.18870,-0.28738,,,,,
42.80000,0.96850,-5.74223,-0.25807,,,,,
42.90000,0.77568,-5.47273,-0.27741,,,,,
43.00000,0.27815,-5.26754,-0.28779,,,,,
43.10000,-0.11294,-5.23960,-0.37740,,,,,
43.20000,-0.29139,-4.85345,-0.30330,,,,,
43.30000,-0.15396,-4.52332,-0.11143,,,,,
43.40000,0.14544,-4.03994,0.01612,,,,,
43.50000,0.35005,-3.76478,0.07261,,,,,
43.60000,0.36689,-3.81755,0.07836,,,,,
43.70000,0.15663,-4.04734,0.02692,,,,,
43.80000,-0.05351,-4.10715,-0.06258,,,,,
43.90000,-0.15590,-4.18784,-0.06779,,,,,
44.00000,-0.13862,-4.18283,-0.17625,,,,,
44.10000,-0.15591,-4.32851,-0.26034,,,,,
44.20000,-0.25902,-4.95834,-0.26860,,,,,
44.30000,-0.31270,-5.62594,-0.30210,,,,,
44.40000,-0.28082,-6.01893,-0.33211,,,,,
44.50000,-0.07413,-5.91421,-0.35438,,,,,
44.60000,0.21551,-5.71874,-0.36732,,,,,
44.70000,0.35499,-5.45384,-0.37946,,,,,
44.80000,0.37552,-5.46685,-0.46953,,,,,
44.90000,0.22546,-5.96484,-0.49173,,,,,
45.00000,0.01093,-6.25246,-0.52516,,,,,
45.10000,0.00221,-6.45540,-0.58142,,,,,
45.20000,0.13667,-6.38386,-0.60220,,,,,
45.30000,0.28153,-6.32001,-0.55859,,,,,
45.40000,0.31541,-5.96043,-0.48634,,,,,
45.50000,0.29669,-5.65067,-0.40814,,,,,
45.60000,0.29405,-5.09925,-0.34289,,,,,
45.70000,0.37515,-4.72002,-0.29979,,,,,
45.80000,0.46682,-4.46753,-0.30451,,,,,
45.90000,0.49942,-4.27847,-0.25863,,,,,
46.00000,0.46494,-4.12738,-0.33122,,,,,
46.10000,0.39347,-4.01230,-0.34598,,,,,
46.20000,0.35197,-3.78501,-0.31863,,,,,
46.30000,0.40886,-3.22106,-0.25921,,,,,
46.40000,0.49617,-2.43316,-0.09690,,,,,
46.50000,0.52966,-1.62090,0.02132,,,,,
46.60000,0.51443,-1.23263,0.10905,,,,,
46.70000,0.39909,-1.44055,0.19959,,,,,
46.80000,0.36371,-1.92097,0.20889,,,,,
46.90000,0.36073,-2.53412,0.15791,,,,,
47.00000,0.31706,-3.10946,0.13813,,,,,
47.10000,0.30786,-3.60063,0.13197,,,,,
47.20000,0.33737,-4.02527,0.07999,,,,,
47.30000,0.36063,-4.42525,0.08156,,,,,
47.40000,0.43401,-4.90927,0.05590,,,,,
47.50000,0.59011,-5.44645,-0.00793,,,,,
47.60000,0.68361,-6.21221,-0.02416,,,,,
47.70000,0.73621,-6.96242,-0.43856,,,,,
47.80000,0.64910,-7.92668,-0.76339,,,,,
47.90000,0.23833,-9.13806,-0.86430,,,,,
48.00000,-0.05094,-9.87585,-0.92744,,,,,
48.10000,-0.06092,-10.18193,-0.96619,,,,,
48.20000,0.06664,-10.23065,-0.93642,,,,,
48.30000,0.20527,-10.32937,-0.80900,,,,,
48.40000,0.22147,-10.30893,-0.66262,,,,,
48.50000,0.23015,-10.49230,-0.42638,,,,,
48.60000,0.42009,-10.67831,-0.34254,,,,,
48.70000,0.60818,-10.76447,-0.35734,,,,,
48.80000,0.79841,-10.87917,-0.31184,,,,,
48.90000,0.89032,-10.86759,-0.28562,,,,,
